Item,Name,Country,Region,Style,Description,Grapes,Pair With,Avg Price USD,Vintage,Score
90,Schafer-Frohlich Bockenauer Felseneck Riesling Grosses Gewachs,Germany,Nahe,"White, Green and Flinty","A very expressive, medium-bodied version, with lots of flesh, offset by powerful acidity that gives this ample energy and drive. Notes of jasmine, hops, yellow plum and kumquat impart charm midpalate, while hints of shaved ginger and lemon oil linger on the long, well-defined finish.",Riesling,White Fish,69,2018,96
91,Chateau Lamartine,France,Cahors,"Red, Bold and Structured","This focused red delivers smoke and mineral undertones flanking the plum and currant flavors, backed by moderate tannins. Accents of bay leaf, spice, violet and black licorice create depth and interest through the energetic finish. Malbec and Merlot.",Malbec - Merlot,Beef and Venison,12,2016,90
92,Oremus Mandolas Tokaji Dry,Hungary,Tokaj,"White, Aromatic and Floral","A ripe and juicy note of Jonagold apple is layered with hints of beeswax, chive blossom and almond skin in this well-cut, medium-bodied white, which is lightly chalky in texture, with a saline-laced finish. ",Furmint,Pork,21,2018,90
93,Chateau Pavie-Decesse,France,Saint-Emilion Grand Cru,"Red, Savory and Classic","This is laden with cassis and warmed plum compote notes, infused liberally with violet and anise accents. Gains depth and richness with air, yet maintains a racy edge due to its mouthwatering acidity and perfectly embedded chalky spine on the finish. Merlot and Cabernet Franc.",Bordeaux Blend Red,Beef and Venison,150,2017,97
94,Klinker Brick Winery Grenache Blanc,USA,Lodi,"White, Tropical and Balanced","Yellow apple, ripe Bartlett pear and tangerine flavors are pure and lush, set on a medium frame, with crisp acidity. Shows impressive focus and purity of flavor. Fresh finish",Grenache Blanc,Root Vegetables and Squashes,15,2019,90
95,Albert Morot Les Cents Vignes,France,Beaune Premier Cru,"Red, Savory and Classic","Precision and purity are the hallmarks of this taut, linear red. Wild strawberry, cherry, stony mineral and earth notes are finely woven into the dense texture. Vibrant acidity drives the lingering finish.",Pinot Noir,"Duck, Goose and Game Birds",61,2017,93
96,Guerrieri Gonzaga Tenuta San Leonardo Vette di San Leonardo Sauvignon Blanc,Italy,Trentino-Alto Adige,"White, Green and Flinty","A subtly perfumed, floral nose of jasmine and chive blossom draws you into the glass of this creamy, light- to medium-bodied white, where mouthwatering acidity and finely knit flavors of nectarine, lemon curd and stone await.",Sauvignon Blanc,White Fish,18,2018,90
97,Fowles Ladies who Shoot their Lunch Wild Ferment Shiraz,Australia ,Strathbogie Ranges,"Red, Rich and Intense","Blackberry and huckleberry flavors are concentrated and plump, with appealing details of black tea, clove and dried mint. Firm tannins never get in the way, firming up slightly on the finish.",Shiraz,Beef and Venison,32,2018,90
98,Domaine Alain Voge Cornas Les Chailles,France,Rhone,"Red, Bold and Structured","A bright and fresh style, leading off with floral and bay leaf elements, followed by brisk-edged cassis and damson plum fruit flavors. The racy, mineral-pierced finish shows good persistence.",Syrah,Lamb,52,2017,94
99,Grifalco della Lucania Gricos Aglianico del Vulture,Italy,Basilicata,"Red, Bold and Structured","This bright and well-knit red is medium- to full-bodied, with pleasing tension and creamy tannins defining flavors of mulberry, herbed olive and salty mineral. Aromatic accents of wild sage and bergamot linger on the finish. ",Aglianico,Lamb,19,2017,90
100,Weingut Moric Hausmarke Gruner Veltliner Chardonnay,Austria,Burgenland,"White, Green and Flinty","This combines power and grace, with a ripe profile and lively acidity. Flavors of cherry and currant harmonize with hints of loam, underbrush and hibiscus tea. Complex and fresh-tasting, but also firm, this red is intriguingly long and inviting. Blaufränkisch, Zweigelt and Pinot Noir.",Gruner Veltliner,White Fish,26,2017,91
